model,dataset,severity,error_count,avg_confidence,avg_comet
LLAMA_PRE,flores+llm_error_analysis_output.json,minor,802,0.3947002001831359,0.8875865574340868
LLAMA_PRE,flores+llm_error_analysis_output.json,,0,,0.9045644122311193
LLAMA_PRE,from_training_dataset_llm_error_analysis_output.json,critical,232,0.45642300309806033,0.2841569684959691
LLAMA_PRE,from_training_dataset_llm_error_analysis_output.json,major,1928,0.4260684444696577,0.674282592207317
LLAMA_PRE,from_training_dataset_llm_error_analysis_output.json,minor,1254,0.3919202692010566,0.9062742318072767
LLAMA_PRE,from_training_dataset_llm_error_analysis_output.json,,0,,0.8578018558985592
LLAMA_PRE,ksaembassyroullm_error_analysis_output.json,critical,365,0.46690188891267126,0.21788754781631575
LLAMA_PRE,ksaembassyroullm_error_analysis_output.json,major,109,0.3610279888188073,0.3231935654211482
LLAMA_PRE,ksaembassyroullm_error_analysis_output.json,minor,5,0.3203125,0.5092810153961181
LLAMA_PRE,ksaembassyroullm_error_analysis_output.json,,0,,0.3430235106498003
LLAMA_PRE,statutul_refugiatilor_llm_error_analysis_output.json,critical,99,0.4959383877840909,0.18897391268701264
LLAMA_PRE,statutul_refugiatilor_llm_error_analysis_output.json,major,166,0.4044292403990964,0.6169031876397421
LLAMA_PRE,statutul_refugiatilor_llm_error_analysis_output.json,minor,130,0.3943359375,0.9027092915314895
LLAMA_PRE,statutul_refugiatilor_llm_error_analysis_output.json,,0,,0.8354427849545198
LLAMA_TRAINED,arabia_saudita_guvern_llm_trained_error_analysis_output.json,critical,55,0.4346413352272727,0.32206164490092887
LLAMA_TRAINED,arabia_saudita_guvern_llm_trained_error_analysis_output.json,major,224,0.3927677699497768,0.5832142933670964
LLAMA_TRAINED,arabia_saudita_guvern_llm_trained_error_analysis_output.json,minor,124,0.3816685830393145,0.8582086822678966
LLAMA_TRAINED,arabia_saudita_guvern_llm_trained_error_analysis_output.json,,0,,0.6712385792777223
LLAMA_TRAINED,conventia_geneva_llm_trained_error_analysis_output.json,critical,180,0.4515964084201389,0.25487138430277506
LLAMA_TRAINED,conventia_geneva_llm_trained_error_analysis_output.json,major,298,0.39693578937709734,0.6208865920569273
LLAMA_TRAINED,conventia_geneva_llm_trained_error_analysis_output.json,minor,163,0.38521047018788346,0.8828647465793633
LLAMA_TRAINED,conventia_geneva_llm_trained_error_analysis_output.json,,0,,0.6983623866722962
LLAMA_TRAINED,drepturile_copiluluillm_trained_error_analysis_output.json,critical,99,0.5631559738005051,0.2019858444579924
LLAMA_TRAINED,drepturile_copiluluillm_trained_error_analysis_output.json,major,109,0.4026976419151376,0.6856458121483479
LLAMA_TRAINED,drepturile_copiluluillm_trained_error_analysis_output.json,minor,134,0.3923066552005597,0.9158497261467264
LLAMA_TRAINED,drepturile_copiluluillm_trained_error_analysis_output.json,,0,,0.8093464423057645
LLAMA_TRAINED,drepturile_economice_culturalellm_trained_error_analysis_output.json,critical,15,0.4835286458333333,0.3155826210975647
LLAMA_TRAINED,drepturile_economice_culturalellm_trained_error_analysis_output.json,major,67,0.386143015391791,0.6672722119003979
LLAMA_TRAINED,drepturile_economice_culturalellm_trained_error_analysis_output.json,minor,88,0.390411376953125,0.9059285433454947
LLAMA_TRAINED,drepturile_economice_culturalellm_trained_error_analysis_output.json,,0,,0.862937326853474
LLAMA_TRAINED,drepturile_omului_llm_trained_error_analysis_output.json,critical,78,0.5594764122596154,0.1462430388499529
LLAMA_TRAINED,drepturile_omului_llm_trained_error_analysis_output.json,major,26,0.4065410907451923,0.7539826814944928
LLAMA_TRAINED,drepturile_omului_llm_trained_error_analysis_output.json,minor,39,0.393467047275641,0.9031351514351673
LLAMA_TRAINED,drepturile_omului_llm_trained_error_analysis_output.json,,0,,0.8188053216483142
LLAMA_TRAINED,flores+llm_trained_error_analysis_output.json,critical,82,0.47302841558689024,0.3628296499572149
LLAMA_TRAINED,flores+llm_trained_error_analysis_output.json,major,1028,0.4239642072744407,0.6310122355760768
LLAMA_TRAINED,flores+llm_trained_error_analysis_output.json,minor,710,0.39321736080545777,0.89661339899184
LLAMA_TRAINED,flores+llm_trained_error_analysis_output.json,,0,,0.9707351459631229
LLAMA_TRAINED,from_training_dataset_llm_trained_error_analysis_output.json,critical,295,0.4853772179555085,0.3294946807925984
LLAMA_TRAINED,from_training_dataset_llm_trained_error_analysis_output.json,major,1916,0.42503149872781837,0.6779917257688239
LLAMA_TRAINED,from_training_dataset_llm_trained_error_analysis_output.json,minor,1163,0.3916355700505159,0.90774003586068
LLAMA_TRAINED,from_training_dataset_llm_trained_error_analysis_output.json,,0,,0.8475275425958895
LLAMA_TRAINED,ksaembassyrou_llm_trained_error_analysis_output.json,critical,231,0.4666320008116883,0.2150628397733102
LLAMA_TRAINED,ksaembassyrou_llm_trained_error_analysis_output.json,major,38,0.3540810032894737,0.3726162314414978
LLAMA_TRAINED,ksaembassyrou_llm_trained_error_analysis_output.json,minor,2,0.336669921875,0.6331550776958466
LLAMA_TRAINED,ksaembassyrou_llm_trained_error_analysis_output.json,,0,,0.34986499045044184
LLAMA_TRAINED,statutul_refugiatilor_llm_trained_error_analysis_output.json,critical,49,0.40660873724489793,0.2538368337008418
LLAMA_TRAINED,statutul_refugiatilor_llm_trained_error_analysis_output.json,major,159,0.4023452854756289,0.6608906118374951
LLAMA_TRAINED,statutul_refugiatilor_llm_trained_error_analysis_output.json,minor,128,0.3907032012939453,0.90011106710881
LLAMA_TRAINED,statutul_refugiatilor_llm_trained_error_analysis_output.json,,0,,0.8608159023635792
MISTRAL_PRE,arabia_saudita_guvern_mistral_pre_error_analysis_output.json,critical,123,0.4600363630589431,0.24995209409938596
MISTRAL_PRE,arabia_saudita_guvern_mistral_pre_error_analysis_output.json,major,385,0.4029005174512987,0.46101286271949865
MISTRAL_PRE,arabia_saudita_guvern_mistral_pre_error_analysis_output.json,minor,80,0.38487548828125,0.8620081461966038
MISTRAL_PRE,arabia_saudita_guvern_mistral_pre_error_analysis_output.json,,0,,0.5752054407046392
MISTRAL_PRE,conventia_geneva_mistral_pre_error_analysis_output.json,critical,262,0.44796170533158397,0.19800389108767036
MISTRAL_PRE,conventia_geneva_mistral_pre_error_analysis_output.json,major,520,0.40909142127403847,0.506324716943961
MISTRAL_PRE,conventia_geneva_mistral_pre_error_analysis_output.json,minor,76,0.37588340357730265,0.8489358370241366
MISTRAL_PRE,conventia_geneva_mistral_pre_error_analysis_output.json,,0,,0.8793864684445517
MISTRAL_PRE,drepturile_copiluluimistral_pre_error_analysis_output.json,critical,54,0.47441496672453703,0.2568359148723108
MISTRAL_PRE,drepturile_copiluluimistral_pre_error_analysis_output.json,major,285,0.4105126096491228,0.5578472637293631
MISTRAL_PRE,drepturile_copiluluimistral_pre_error_analysis_output.json,minor,129,0.39342788578003873,0.9055003477621448
MISTRAL_PRE,drepturile_copiluluimistral_pre_error_analysis_output.json,,0,,0.955383494302824
MISTRAL_PRE,drepturile_economice_culturalemistral_pre_error_analysis_output.json,critical,30,0.444140625,0.34122679034868875
MISTRAL_PRE,drepturile_economice_culturalemistral_pre_error_analysis_output.json,major,172,0.41876646529796513,0.5465345095063365
MISTRAL_PRE,drepturile_economice_culturalemistral_pre_error_analysis_output.json,minor,81,0.39048032407407407,0.8981372007617244
MISTRAL_PRE,drepturile_economice_culturalemistral_pre_error_analysis_output.json,,0,,0.9759828295972612
MISTRAL_PRE,drepturile_omului_mistral_pre_error_analysis_output.json,critical,2,0.568603515625,0.16240820288658142
MISTRAL_PRE,drepturile_omului_mistral_pre_error_analysis_output.json,major,84,0.42427862258184523,0.5914358177355358
MISTRAL_PRE,drepturile_omului_mistral_pre_error_analysis_output.json,minor,25,0.38880859375,0.896766083240509
MISTRAL_PRE,drepturile_omului_mistral_pre_error_analysis_output.json,,0,,0.9833056926727295
MISTRAL_PRE,flores+mistral_pre_error_analysis_output.json,critical,308,0.4997439694094968,0.28290683621322954
MISTRAL_PRE,flores+mistral_pre_error_analysis_output.json,major,1599,0.4244086269738899,0.5770640110805528
MISTRAL_PRE,flores+mistral_pre_error_analysis_output.json,minor,496,0.3908755394720262,0.8838981132834188
MISTRAL_PRE,flores+mistral_pre_error_analysis_output.json,,0,,0.7483479784628779
MISTRAL_PRE,from_training_dataset_mistral_pre_error_analysis_output.json,critical,243,0.4684395495756173,0.3916587369677461
MISTRAL_PRE,from_training_dataset_mistral_pre_error_analysis_output.json,major,2131,0.4296582856126818,0.6492653140882996
MISTRAL_PRE,from_training_dataset_mistral_pre_error_analysis_output.json,minor,1019,0.39122900246871933,0.9049138892972083
MISTRAL_PRE,from_training_dataset_mistral_pre_error_analysis_output.json,,0,,0.7541029876612222
MISTRAL_PRE,ksaembassyroumistral_pre_error_analysis_output.json,critical,294,0.4916444116709184,0.16686641125857424
MISTRAL_PRE,ksaembassyroumistral_pre_error_analysis_output.json,major,71,0.36142096720950706,0.2874530562212769
MISTRAL_PRE,ksaembassyroumistral_pre_error_analysis_output.json,minor,4,0.344482421875,0.7499363273382187
MISTRAL_PRE,ksaembassyroumistral_pre_error_analysis_output.json,,0,,0.2355914612611135
MISTRAL_PRE,statutul_refugiatilor_mistral_pre_error_analysis_output.json,critical,109,0.4811406966743119,0.15426269501721093
MISTRAL_PRE,statutul_refugiatilor_mistral_pre_error_analysis_output.json,major,256,0.4195833206176758,0.5381750406231731
MISTRAL_PRE,statutul_refugiatilor_mistral_pre_error_analysis_output.json,minor,82,0.38960080030487804,0.9099096088874631
MISTRAL_PRE,statutul_refugiatilor_mistral_pre_error_analysis_output.json,,0,,0.7368062727335023
MISTRAL_TRAINED,arabia_saudita_guvern_mistral_trained_error_analysis_output.json,critical,66,0.4319809422348485,0.2733321930422927
MISTRAL_TRAINED,arabia_saudita_guvern_mistral_trained_error_analysis_output.json,major,211,0.3981100507257109,0.5946947042410973
MISTRAL_TRAINED,arabia_saudita_guvern_mistral_trained_error_analysis_output.json,minor,112,0.3862762451171875,0.8765660694667271
MISTRAL_TRAINED,arabia_saudita_guvern_mistral_trained_error_analysis_output.json,,0,,0.7464067669624977
MISTRAL_TRAINED,conventia_geneva_mistral_trained_error_analysis_output.json,critical,150,0.4449658203125,0.30360000967979434
MISTRAL_TRAINED,conventia_geneva_mistral_trained_error_analysis_output.json,major,250,0.392794921875,0.5687092845439911
MISTRAL_TRAINED,conventia_geneva_mistral_trained_error_analysis_output.json,minor,97,0.38177553157216493,0.8757479362881061
MISTRAL_TRAINED,conventia_geneva_mistral_trained_error_analysis_output.json,,0,,0.6850319901430929
MISTRAL_TRAINED,drepturile_copiluluimistral_trained_error_analysis_output.json,critical,19,0.43013723273026316,0.4719439807691072
MISTRAL_TRAINED,drepturile_copiluluimistral_trained_error_analysis_output.json,major,86,0.38845612281976744,0.6219380636547887
MISTRAL_TRAINED,drepturile_copiluluimistral_trained_error_analysis_output.json,minor,87,0.3968716325431034,0.9266391492438042
MISTRAL_TRAINED,drepturile_copiluluimistral_trained_error_analysis_output.json,,0,,0.9716925802139136
MISTRAL_TRAINED,drepturile_economice_culturalemistral_trained_error_analysis_output.json,critical,11,0.3974609375,0.38280521739612927
MISTRAL_TRAINED,drepturile_economice_culturalemistral_trained_error_analysis_output.json,major,57,0.4015427974232456,0.6590314789822227
MISTRAL_TRAINED,drepturile_economice_culturalemistral_trained_error_analysis_output.json,minor,53,0.3821215359669811,0.9086263494671516
MISTRAL_TRAINED,drepturile_economice_culturalemistral_trained_error_analysis_output.json,,0,,0.9623792297403577
MISTRAL_TRAINED,drepturile_omului_mistral_trained_error_analysis_output.json,critical,4,0.47808837890625,0.49658203125
MISTRAL_TRAINED,drepturile_omului_mistral_trained_error_analysis_output.json,major,12,0.3994140625,0.6942697862784067
MISTRAL_TRAINED,drepturile_omului_mistral_trained_error_analysis_output.json,minor,33,0.3793723366477273,0.9076542348572703
MISTRAL_TRAINED,drepturile_omului_mistral_trained_error_analysis_output.json,,0,,0.9882795030420477
MISTRAL_TRAINED,flores+mistral_trained_error_analysis_output.json,critical,131,0.4829381112833969,0.3082538185683826
MISTRAL_TRAINED,flores+mistral_trained_error_analysis_output.json,major,1088,0.42460497687844667,0.6237133294891786
MISTRAL_TRAINED,flores+mistral_trained_error_analysis_output.json,minor,580,0.3928479424838362,0.8911530669393211
MISTRAL_TRAINED,flores+mistral_trained_error_analysis_output.json,,0,,0.9361493088455008
MISTRAL_TRAINED,from_training_dataset_mistral_trained_error_analysis_output.json,critical,118,0.4403076171875,0.484538328091977
MISTRAL_TRAINED,from_training_dataset_mistral_trained_error_analysis_output.json,major,1623,0.4254187244878312,0.6895149881944052
MISTRAL_TRAINED,from_training_dataset_mistral_trained_error_analysis_output.json,minor,1139,0.391386572994403,0.9158643005813183
MISTRAL_TRAINED,from_training_dataset_mistral_trained_error_analysis_output.json,,0,,0.9545834030217735
MISTRAL_TRAINED,ksaembassyroumistral_trained_error_analysis_output.json,critical,221,0.501220703125,0.17374951011454898
MISTRAL_TRAINED,ksaembassyroumistral_trained_error_analysis_output.json,major,15,0.33055013020833335,0.31455891927083335
MISTRAL_TRAINED,ksaembassyroumistral_trained_error_analysis_output.json,minor,4,0.35601806640625,0.8322609663009644
MISTRAL_TRAINED,ksaembassyroumistral_trained_error_analysis_output.json,,0,,0.2861287805594896
MISTRAL_TRAINED,statutul_refugiatilor_mistral_trained_error_analysis_output.json,critical,15,0.4649251302083333,0.28875182271003724
MISTRAL_TRAINED,statutul_refugiatilor_mistral_trained_error_analysis_output.json,major,169,0.4019825952292899,0.6641498320906826
MISTRAL_TRAINED,statutul_refugiatilor_mistral_trained_error_analysis_output.json,minor,88,0.39540238813920453,0.9202626896175471
MISTRAL_TRAINED,statutul_refugiatilor_mistral_trained_error_analysis_output.json,,0,,0.9096163654966014
NLLB,arabia_saudita_guvern_nllb_error_analysis_output.json,critical,85,0.43471105238970587,0.21949868412578807
NLLB,arabia_saudita_guvern_nllb_error_analysis_output.json,major,457,0.40263383393736324,0.47167074289050614
NLLB,arabia_saudita_guvern_nllb_error_analysis_output.json,minor,114,0.38672945792214913,0.8658574908448938
NLLB,arabia_saudita_guvern_nllb_error_analysis_output.json,,0,,0.7739402905983084
NLLB,conventia_geneva_nllb_error_analysis_output.json,critical,130,0.45575608473557694,0.2390077652839514
NLLB,conventia_geneva_nllb_error_analysis_output.json,major,522,0.40443344408524906,0.5268538327052675
NLLB,conventia_geneva_nllb_error_analysis_output.json,minor,130,0.3842303936298077,0.8581855984834524
NLLB,conventia_geneva_nllb_error_analysis_output.json,,0,,0.9287711503059883
NLLB,drepturile_copiluluinllb_error_analysis_output.json,critical,15,0.44990234375,0.407561331987381
NLLB,drepturile_copiluluinllb_error_analysis_output.json,major,229,0.4173973116812227,0.6069321398131191
NLLB,drepturile_copiluluinllb_error_analysis_output.json,minor,94,0.39061461103723405,0.8861090116044308
NLLB,drepturile_copiluluinllb_error_analysis_output.json,,0,,0.9927024815672187
NLLB,drepturile_economice_culturalenllb_error_analysis_output.json,critical,13,0.39295372596153844,0.45780964539601254
NLLB,drepturile_economice_culturalenllb_error_analysis_output.json,major,146,0.4265220328553082,0.6162361184211627
NLLB,drepturile_economice_culturalenllb_error_analysis_output.json,minor,107,0.40531450788551404,0.8764349016073708
NLLB,drepturile_economice_culturalenllb_error_analysis_output.json,,0,,0.9973437786102295
NLLB,drepturile_omului_nllb_error_analysis_output.json,critical,3,0.4983723958333333,0.4767167965571086
NLLB,drepturile_omului_nllb_error_analysis_output.json,major,46,0.422607421875,0.6928537967412368
NLLB,drepturile_omului_nllb_error_analysis_output.json,minor,20,0.39202880859375,0.9170852392911911
NLLB,drepturile_omului_nllb_error_analysis_output.json,,0,,0.9966011842091879
NLLB,flores+nllb_error_analysis_output.json,critical,81,0.47414219232253085,0.3412679915810809
NLLB,flores+nllb_error_analysis_output.json,major,1431,0.4331406140810622,0.6005443964364394
NLLB,flores+nllb_error_analysis_output.json,minor,751,0.3952519687291944,0.8936767874164048
NLLB,flores+nllb_error_analysis_output.json,,0,,0.9595100788097808
NLLB,from_training_dataset_nllb_error_analysis_output.json,critical,117,0.45397636217948717,0.4467076570050329
NLLB,from_training_dataset_nllb_error_analysis_output.json,major,1709,0.4291300765250146,0.6836265327290111
NLLB,from_training_dataset_nllb_error_analysis_output.json,minor,1216,0.39206294009560033,0.9115217545216805
NLLB,from_training_dataset_nllb_error_analysis_output.json,,0,,0.9637064610612832
NLLB,ksaembassyrounllb_error_analysis_output.json,critical,293,0.4723537822632253,0.1580485195023208
NLLB,ksaembassyrounllb_error_analysis_output.json,major,77,0.36690214082792205,0.2701908133246682
NLLB,ksaembassyrounllb_error_analysis_output.json,minor,3,0.3404134114583333,0.6888070106506348
NLLB,ksaembassyrounllb_error_analysis_output.json,,0,,0.2554607888062795
NLLB,statutul_refugiatilor_nllb_error_analysis_output.json,critical,43,0.42296511627906974,0.20482212859530782
